num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;prochaine_question;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
7;2024;Vous souhaitez réduire la dissuasion de manière significative, sans la faire disparaître pour autant.;Différentes options existent :;;A ;"Faire disparaître le porte-avion et la dissuasion aerienne au profit de la construction supplémentaire d'au moins 2 SNLE. Le programme Porte-avion nouvelle génération sera abandonné.Cependant, le porte-avion est un outil de dissuasion, mais également un outil de défense conventionnelle des territoires ultra-marins. Son absence décroit significativement la défense de ces territoires.  
Vous réalisez 10 milliard d'économies sur les armes Nucleaire aerienne, et 10 Milliards d'économies sur le porte-avion abandonné. Vous investissez au moins 4 milliards de plus pour obtenir 2 SNLE supplémentaires.";8;;;"cout:-500
budget:-50
niveau_techno:-25";;;PANG;launch_programme
7;2024;Vous souhaitez réduire la dissuasion de manière significative, sans la faire disparaître pour autant.;Différentes options existent :;;B;Faire disparaître le porte-avion et la dissuasion aerienne sans compensation. Vous réalisez 10 milliard d'économies sur les armes Nucleaire aerienne, et 10 Milliards d'économies sur le porte-avion abandonné.;9;;;"cout:-500
budget:-50
niveau_techno:-25";;;PANG;launch_programme
7;2024;Vous souhaitez réduire la dissuasion de manière significative, sans la faire disparaître pour autant.;Différentes options existent :;;C;Arrêter la construction des SNLE pour se concentrer sur un second porte-avion pour assurer une dissuasion uniquement par les airs. L'arrêt de la production des SNLE permet de mettre fin à l'utilisation des chaudières Nucleaire pour les sous-marins et le porte-avion. Cependant, ce porte-avion n'évolue pas seul mais avec un groupe aeronaval, il faut donc non seulement en construire un de plus pour rempacer l'actuel, mais également ajouter un groupe aeronaval minimal pour assurer sa protection. Il serait composé au minimum d'un SNA, une FREMM, 2 Hawkeye, 25 rafales, un pétrolier ravitailleur un avion de renseignement et un escorteur (Frégate légère) . Vous réalisez 4,8Milliard d'économie sur le programme SNLE, 40 milliard sur les armes Nucleaire océaniques et 8milliard de dépense en moins en achetant pas les 4 SNLE prévus. De plus le coût unitaire du porte-avion est réduit de 1 Milliard. Vous-pouvez donc acheter un second prte-avion conventionnel (4Milliard) ainsi qu'un second groupe aeronaval associé (4 milliard) en réalisant d'importantes économies.;10;;;;"cout:-1000
min_nb_utile:2";Porte-avion;;
7;2024;Vous souhaitez réduire la dissuasion de manière significative, sans la faire disparaître pour autant.;Différentes options existent :;;D;Revenir au choix précédent;4;;;;;;;
8;2024;Faire disparaître le porte-avion et la dissuasion aerienne au profit de la construction supplémentaire d'au moins 2 SNLE. Le programme Porte-avion nouvelle génération sera abandonné.Cependant, le porte-avion est un outil de dissuasion, mais également un outil de défense conventionnelle des territoires ultra-marins. Son absence décroit significativement la défense de ces territoires.  ;Pas de choix;;A;Modelisation de l'augmentation de la commande de SNLE;9;;;;min_nb_utile:6;SNLE;;
9;2024;Faire disparaître le porte-avion et la dissuasion aerienne au profit de la construction supplémentaire d'au moins 2 SNLE. Le programme Porte-avion nouvelle génération sera abandonné.Cependant, le porte-avion est un outil de dissuasion, mais également un outil de défense conventionnelle des territoires ultra-marins. Son absence décroit significativement la défense de ces territoires.  ;Pas de choix;;A;Modelisation de la fin de la dissuasion aerienne;0;;;"cout:-10000
budget:-20
niveau_techno:-10";;;Armes Nucleaires;launch_programme
10;2024;Arrêter la construction des SNLE pour se concentrer sur un second porte-avion pour assurer une dissuasion uniquement par les airs. L'arrêt de la production des SNLE permet de mettre fin à l'utilisation des chaudières Nucleaire pour les sous-marins et le porte-avion. Cependant, ce porte-avion n'évolue pas seul mais avec un groupe aeronaval, il faut donc non seulement en construire un de plus pour rempacer l'actuel, mais également ajouter un groupe aeronaval minimal pour assurer sa protection. Il serait composé au minimum d'un SNA, une FREMM, 2 Hawkeye, 25 rafales, un pétrolier ravitailleur un avion de renseignement et un escorteur (Frégate légère) ;Pas de choix, modelisation du lancement de la construction du groupe aeronaval;;A;Lancement de la construction d'un second groupe aeronaval.;11;;;;min_nb_utile:1;Groupe-aeronaval;;
11;2024;Arrêter la construction des SNLE pour se concentrer sur un second porte-avion pour assurer une dissuasion uniquement par les airs. L'arrêt de la production des SNLE permet de mettre fin à l'utilisation des chaudières Nucleaire pour les sous-marins et le porte-avion. Cependant, ce porte-avion n'évolue pas seul mais avec un groupe aeronaval, il faut donc non seulement en construire un de plus pour rempacer l'actuel, mais également ajouter un groupe aeronaval minimal pour assurer sa protection. Il serait composé au minimum d'un SNA, une FREMM, 2 Hawkeye, 25 rafales, un pétrolier ravitailleur un avion de renseignement et un escorteur (Frégate légère) ;Pas de choix;;A;Modelisation de l'arrêt du programme SNLE;12;;;"cout:-480
budget:-48
niveau_techno:-25";;;SNLE 3G;launch_programme
12;2024;Arrêter la construction des SNLE pour se concentrer sur un second porte-avion pour assurer une dissuasion uniquement par les airs. L'arrêt de la production des SNLE permet de mettre fin à l'utilisation des chaudières Nucleaire pour les sous-marins et le porte-avion. Cependant, ce porte-avion n'évolue pas seul mais avec un groupe aeronaval, il faut donc non seulement en construire un de plus pour rempacer l'actuel, mais également ajouter un groupe aeronaval minimal pour assurer sa protection. Il serait composé au minimum d'un SNA, une FREMM, 2 Hawkeye, 25 rafales, un pétrolier ravitailleur un avion de renseignement et un escorteur (Frégate légère) ;Pas de choix;;A;Modelisation de l'arrêt de la modernisation des missiles Nucleaire océaniques;0;;;"cout:-4000
budget:-80
niveau_techno:-40";;;Armes Nucleaires;launch_programme
13;2024;La suppression de la dissuasion nucléaire française vous dégage des marges budgetaires qui vous permettent de considéer deux options : ;Quelle option choisissez-vous ?;;A;"Arrêter la dissuasion en arrêtant la production de SNLE, en transformant les programmes de sous-marins Nucleaire en sous-marins conventionnnels, mais en conservant un programme de porte-avion nouvelle génération à propulsion conventionnelle (non nucléaire).
L'arrêt des armes Nucleaire vous fait économiser 50 milliard sur les dix prochaines années. De plus, le prix du SNLE est réduit de 500M€ (les sous-marins conventionnels sont moins chers) et celui du porte-avion est réduit d'un milliard (pour les mêmes raisons). Enfin, le cout de developpement de ces deux programmes est réduit d'un milliard chacun ";14;;;"cout:-5000
budget:-100
niveau_techno:-50";;;Armes Nucleaires;launch_programme
13;2024;La suppression de la dissuasion nucléaire française vous dégage des marges budgetaires qui vous permettent de considéer deux options : ;Quelle option choisissez-vous ?;;B;"Arrêter armes Nucleaire, sous-marins Nucleaire et ne pas remplacer le Charles-de-Gaulle.
Vous économisez de l'ordre de 80milliard sur les 10 prochaines années";16;;;"cout:-5000
budget:-100
niveau_techno:-50";;;Armes Nucleaires;launch_programme
13;2024;La suppression de la dissuasion nucléaire française vous dégage des marges budgetaires qui vous permettent de considéer deux options : ;Quelle option choisissez-vous ?;;C;Revenir au choix précédent;4;;;;;;;
14;2024;Arrêter la dissuasion en arrêtant la production de SNLE, en transformant les programmes de sous-marins Nucleaire en sous-marins conventionnnels, mais en conservant un programme de porte-avion nouvelle génération à propulsion conventionnelle (non nucléaire);;;A;Modification du programme de SNLE en sous-matin conventionnel;15;;;"cout:-100
budget:-10
niveau_techno:-10";"cout: -500
budget:-50";SNLE;SNLE 3G;launch_programme
15;2024;Arrêter la dissuasion en arrêtant la production de SNLE, en transformant les programmes de sous-marins Nucleaire en sous-marins conventionnnels, mais en conservant un programme de porte-avion nouvelle génération à propulsion conventionnelle (non nucléaire);;;A;Modification du programme de porte-avion nucléaire en programme de porte-avion conventionnel;0;;;"cout:-100
budget:-10
niveau_techno:-10";"cout: -1000
budget:-100";Porte-avion;PANG;launch_programme
16;2024;Arrêt du programme de SNLE;Pas de choix;;A;Arrêt du programme PANG;17;;;"cout:-480
budget:-48
niveau_techno:-25";;;SNLE 3G;launch_programme
17;2024;Arrêt du programme de porte-avion;Pas de choix;;A;Arrêt du programme SNLE;0;;;"cout:-500
budget:-50
niveau_techno:-26";;;PANG;launch_programme
